"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","CPI","TOT","AGRWTH","M","2020-01",1.485293,
"FRA","CPI","TOT","AGRWTH","M","2020-02",1.426354,
"FRA","CPI","TOT","AGRWTH","M","2020-03",0.6737896,
"FRA","CPI","TOT","AGRWTH","M","2020-04",0.326233,
"FRA","CPI","TOT","AGRWTH","M","2020-05",0.3642289,
"FRA","CPI","TOT","AGRWTH","M","2020-06",0.2008032,
"FRA","CPI","TOT","AGRWTH","M","2020-07",0.7760108,
"FRA","CPI","TOT","AGRWTH","M","2020-08",0.2193401,
"FRA","CPI","TOT","AGRWTH","M","2020-09",0.04784689,
"FRA","CPI","TOT","AGRWTH","M","2020-10",0.04786521,
"FRA","CPI","TOT","AGRWTH","M","2020-11",0.2009185,
"FRA","CPI","TOT","AGRWTH","M","2020-12",-0.01905125,
"FRA","CPI","TOT","AGRWTH","M","2021-01",0.5548115,
"FRA","CPI","TOT","AGRWTH","M","2021-02",0.5644313,
"FRA","CPI","TOT","AGRWTH","M","2021-03",1.109093,
"FRA","CPI","TOT","AGRWTH","M","2021-04",1.243305,
"FRA","CPI","TOT","AGRWTH","M","2021-05",1.422978,
"FRA","CPI","TOT","AGRWTH","M","2021-06",1.479149,
"FRA","CPI","TOT","AGRWTH","M","2021-07",1.150299,
"FRA","CPI","TOT","AGRWTH","M","2021-08",1.865068,
"FRA","CPI","TOT","AGRWTH","M","2021-09",2.161645,
"FRA","CPI","TOT","AGRWTH","M","2021-10",2.621759,
"FRA","CPI","TOT","AGRWTH","M","2021-11",2.778574,
"FRA","CPI","TOT","AGRWTH","M","2021-12",2.75343,
"FRA","CPI","TOT","AGRWTH","M","2022-01",2.853881,
"FRA","CPI","TOT","AGRWTH","M","2022-02",3.633942,
"FRA","CPI","TOT","AGRWTH","M","2022-03",4.482269,
"FRA","CPI","TOT","AGRWTH","M","2022-04",4.82713,
"FRA","CPI","TOT","AGRWTH","M","2022-05",5.19774,
"FRA","CPI","TOT","AGRWTH","M","2022-06",5.839759,
"FRA","CPI","TOT","AGRWTH","M","2022-07",6.080827,
"FRA","CPI","TOT","AGRWTH","M","2022-08",5.913125,
"FRA","CPI","TOT","AGRWTH","M","2022-09",5.551915,
"FRA","CPI","TOT","AGRWTH","M","2022-10",6.200466,
"FRA","CPI","TOT","AGRWTH","M","2022-11",6.15013,
"FRA","CPI","TOT","AGRWTH","M","2022-12",5.850718,
"FRA","CPI","TOT","AGRWTH","M","2023-01",5.993341,
"FRA","CPI","TOT","AGRWTH","M","2023-02",6.278686,
"FRA","CPI","TOT","AGRWTH","M","2023-03",5.701873,
"FRA","CPI","TOT","AGRWTH","M","2023-04",5.884473,
"FRA","CPI","TOT","AGRWTH","M","2023-05",5.119943,
"FRA","CPI","TOT","AGRWTH","M","2023-06",4.53132,
"FRA","CPI","TOT","AGRWTH","M","2023-07",4.288119,
"FRA","CPI","TOT","AGRWTH","M","2023-08",4.859764,
"FRA","CPI","TOT","AGRWTH","M","2023-09",4.896221,
"FRA","CPI","TOT","AGRWTH","M","2023-10",3.977173,
"FRA","CPI","TOT","AGRWTH","M","2023-11",3.474532,
